name,nameLocalized,staticId,level,baseExp,jobExp,maxHp,physicDefenseLevel,zeny
" ""MonsterName10143"""," ""蚂蚁幼虫""",10143,48,71,71,24202,104,30
" ""MonsterName10144"""," ""梅纳海葵""",10144,96,-1,-1,300000,-1,116
" ""MonsterName10145"""," ""邪骸士兵""",10145,51,193,116,80719,253,72
" ""MonsterName10146"""," ""邪恶箱""",10146,999,-1,-1,1,-1,16
" ""MonsterName10147"""," ""变异幽浮水母""",10147,34,49,49,4212,38,24
" ""MonsterName10148"""," ""短剑海盗骷髅""",10148,39,162,54,13046,99,48
" ""MonsterName10149"""," ""摇滚蝗虫""",10149,33,144,48,7686,57,48
" ""MonsterName10150"""," ""雪熊""",10150,46,201,201,59581,144,89
" ""MonsterName10151"""," ""小巴风特""",10151,80,78,233,359183,769,58
" ""MonsterName10152"""," ""蛋壳小鸡""",10152,9,24,24,126,10,9
" ""MonsterName10153"""," ""狂暴木乃伊""",10153,999,-1,-1,1,-1,13
No Name," ""安毕斯""",10154,65,495,165,406717,388,129
" ""MonsterName10155"""," ""巨大白幽灵""",10155,78,335,559,973671,582,150
" ""MonsterName10156"""," ""狂暴小土人""",10156,999,-1,-1,1,-1,-1
" ""MonsterName10157"""," ""邪骸战士长""",10157,74,274,274,524097,515,100
" ""MonsterName10158"""," ""兽人婴儿""",10158,72,131,131,234289,725,50
" ""MonsterName10159"""," ""直升机哥布灵""",10159,88,671,403,1847317,485,152
" ""MonsterName10160"""," ""狂暴哥布灵""",10160,999,-1,-1,1,-1,-1
" ""MonsterName10161"""," ""哥布灵首领""",10161,999,-1,-1,1,-1,-1
" ""MonsterName10162"""," ""犬妖首领""",10162,999,-1,-1,1,-1,-1
" ""MonsterName10163"""," ""风魔巫师""",10163,89,546,182,1293365,797,103
" ""MonsterName10164"""," ""恶灵""",10164,-1,833,278,2036084,1229,157
" ""MonsterName10166"""," ""卡拉特小丑""",10166,81,158,158,439561,805,138
" ""MonsterName10167"""," ""邪恶使者""",10167,92,478,287,1699600,875,108
" ""MonsterName10168"""," ""幽灵剑士""",10168,82,242,403,924702,414,93
" ""MonsterName10170"""," ""幽灵弓箭手""",10170,95,400,400,1959646,593,112
" ""MonsterName10171"""," ""米诺斯""",10171,86,519,519,1684023,737,149
" ""MonsterName10172"""," ""腐尸战俘""",10172,89,182,546,1293365,498,103
" ""MonsterName10173"""," ""伊特瓢虫""",10173,91,94,282,1,-1,66
" ""MonsterName10175"""," ""裘卡""",10175,95,-1,-1,300000,-1,199
" ""MonsterName10179"""," ""贤者虫""",10179,87,220,132,588131,756,50
" ""MonsterName10180"""," ""镜妖""",10180,93,-1,-1,300000,-1,132
" ""MonsterName10182"""," ""史汀""",10182,91,141,235,809365,851,53
" ""MonsterName10184"""," ""卡利斯格""",10184,95,784,470,1,-1,199
" ""MonsterName10185"""," ""艾斯恩魔女""",10185,96,-1,-1,300000,-1,132
" ""MonsterName10187"""," ""邪骸战俘""",10187,93,388,388,1783328,1124,109
" ""MonsterName10190"""," ""瑞比欧""",10190,-1,555,555,2036084,1024,157
" ""MonsterName10191""",No Name,10191,74,-1,-1,1,-1,18
" ""MonsterName10192"""," ""阿修罗狂战士""",10192,98,-1,-1,300000,-1,199
" ""MonsterName10193"""," ""邪骸浪人""",10193,99,-1,-1,300000,-1,132
" ""MonsterName10194"""," ""深渊骑士""",10194,94,739,443,2804980,1155,166
" ""MonsterName10195"""," ""血腥骑士""",10195,84,376,626,1530739,875,144
" ""MonsterName10212"""," ""蝙蝠弓箭手""",10212,95,-1,-1,1959646,593,-1
" ""测试怪物1"""," ""大脚熊""",19910,60,-1,-1,12000,271,428
" ""测试怪物2"""," ""大脚熊""",19911,60,-1,-1,22000,271,428
" ""测试怪物3"""," ""大脚熊""",19912,60,-1,-1,30000,271,428
" ""测试怪物4"""," ""大脚熊""",19913,60,-1,-1,12000,271,428
" ""测试怪物5"""," ""大脚熊""",19914,60,-1,-1,22000,271,428
" ""MonsterName30008"""," ""皮里恩""",19915,30,-1,-1,4029069,236,-1
" ""MonsterName30017"""," ""法老王""",19916,60,-1,-1,11493900,281,-1
" ""MonsterName10038"""," ""大脚熊""",19950,63,-1,-1,193195,296,428
" ""MonsterName10150"""," ""雪熊""",19951,46,-1,-1,44290,160,296
" ""MonsterName10038"""," ""大脚熊""",19952,63,-1,-1,193195,296,428
" ""MonsterName10001"""," ""波利""",19992,1,-1,-1,48,7,9
" ""MonsterName19993"""," ""团子""",19993,45,-1,-1,11300,73,-1
" ""MonsterName19993"""," ""团子""",19994,45,-1,-1,31000,119,-1
" ""MonsterName19995"""," ""大团子""",19995,45,-1,-1,53000,248,-1
" ""MonsterName19999"""," ""木桩人""",19997,50,-1,-1,100000000,100,-1
" ""MonsterName10001"""," ""波利""",19998,1,-1,-1,100,10,-1
" ""MonsterName19999"""," ""木桩人""",19999,50,-1,-1,100000000,-1,-1
" ""MonsterName19999"""," ""木桩人""",20000,50,-1,-1,100000000,-1,-1
" ""MonsterName20001"""," ""邪骸海盗""",20001,39,-1,-1,13046,118,-1
" ""MonsterName20002"""," ""邪骸海盗队长""",20002,40,-1,-1,26092,236,-1
" ""MonsterName20003"""," ""白幽灵""",20003,41,-1,-1,11210,60,-1
" ""MonsterName20004"""," ""巨大白幽灵""",20004,41,-1,-1,22420,120,-1
" ""MonsterName20005"""," ""梅纳海葵""",20005,28,-1,-1,3121,64,-1
" ""MonsterName10164"""," ""恶灵""",20006,39,-1,-1,30000,118,-1
" ""MonsterName20007"""," ""帅炸天的空气墙""",20007,2,-1,-1,5000,-1,-1
" ""MonsterName20008"""," ""boss门""",20008,0,-1,-1,50000,-1,-1
" ""MonsterName10118"""," ""马尔杜克""",20009,80,-1,-1,946871,615,-1
" ""MonsterName10119"""," ""帕莎纳""",20010,80,-1,-1,32365,152,-1
" ""MonsterName20011"""," ""盗虫""",20011,16,-1,-1,675,24,-1
" ""MonsterName20012"""," ""黄金盗虫""",20012,1,-1,-1,600,-1,-1
" ""MonsterName20013"""," ""白鼠""",20013,10,-1,-1,205,13,-1
" ""MonsterName20014"""," ""魔菇""",20014,19,-1,-1,1100,31,-1
" ""MonsterName20015"""," ""浮勒盗虫""",20015,17,-1,-1,805,26,-1
" ""MonsterName20016"""," ""玛勒盗虫""",20016,18,-1,-1,955,29,-1
" ""MonsterName20017"""," ""巨大魔菇""",20017,22,-1,-1,4728,41,-1
" ""MonsterName20018"""," ""玛勒盗虫""",20018,18,-1,-1,955,29,-1
" ""MonsterName10127"""," ""兽人战士长""",20019,60,-1,-1,650364,581,-1
" ""MonsterName20021"""," ""人鱼""",20021,61,-1,-1,210241,417,-1
" ""MonsterName20022"""," ""人鱼士兵""",20022,60,-1,-1,250171,417,-1
" ""MonsterName20023"""," ""剑鱼""",20023,56,-1,-1,208476,500,-1
" ""MonsterName20024"""," ""异变鱼""",20024,59,-1,-1,208476,500,-1
" ""MonsterName20025"""," ""人鱼士兵队长""",20025,60,-1,-1,420482,834,-1
" ""MonsterName20021"""," ""人鱼""",20026,40,-1,-1,210241,417,-1
" ""MonsterName20022"""," ""人鱼士兵""",20027,60,-1,-1,210241,417,-1
" ""MonsterName20023"""," ""剑鱼""",20028,56,-1,-1,208476,500,-1
" ""MonsterName10023"""," ""蚯蚓""",20029,50,-1,-1,14047,90,-1
" ""MonsterName10026"""," ""泥人""",20030,50,-1,-1,116607,301,-1
" ""MonsterName20013"""," ""白鼠""",20031,18,-1,-1,955,29,-1
" ""MonsterName20032"""," ""巨大白鼠""",20032,20,-1,-1,3663,34,-1
" ""MonsterName20011"""," ""盗虫""",20033,16,-1,-1,675,24,-1
" ""MonsterName20015"""," ""浮勒盗虫""",20034,18,-1,-1,955,29,-1
" ""MonsterName20035"""," ""巨大盗虫""",20035,20,-1,-1,3663,34,-1
" ""MonsterName20016"""," ""玛勒盗虫""",20036,18,-1,-1,955,29,-1
" ""MonsterName20037"""," ""巨大浮勒盗虫""",20037,20,-1,-1,3663,34,-1
" ""MonsterName20038"""," ""巨大玛勒盗虫""",20038,20,-1,-1,3663,34,-1
" ""MonsterName20014"""," ""魔菇""",20039,19,-1,-1,1100,31,-1
" ""MonsterName20017"""," ""巨大魔菇""",20040,22,-1,-1,4728,41,-1
" ""MonsterName20041"""," ""蜂巢""",20041,1,-1,-1,30,2,-1
" ""MonsterName20042"""," ""蚁后卵""",20042,60,-1,-1,10,-1,-1
" ""MonsterName10086"""," ""卷甲虫""",20043,70,-1,-1,218876,457,-1
" ""MonsterName10081"""," ""工蚁""",20044,70,-1,-1,182397,285,-1
" ""MonsterName10082"""," ""兵蚁""",20045,70,-1,-1,182397,571,-1
" ""MonsterName10027"""," ""蜂兵""",20046,40,-1,-1,5341,124,-1
" ""MonsterName10035"""," ""毕帝特飞龙""",20047,40,-1,-1,56080,124,-1
" ""MonsterName10038"""," ""大脚熊""",20049,63,-1,-1,429159,360,-1
" ""MonsterName10103"""," ""蛇女伊丝""",20050,50,-1,-1,110059,237,-1
" ""MonsterName10153"""," ""狂暴木乃伊""",20051,50,-1,-1,110059,237,-1
" ""MonsterName10100"""," ""木乃伊""",20052,50,-1,-1,73373,118,-1
" ""MonsterName10101"""," ""毕莱特""",20053,50,-1,-1,73373,118,-1
" ""MonsterName10099"""," ""黑狐""",20054,50,-1,-1,58698,189,-1
" ""MonsterName10098"""," ""邪骸弓箭手""",20055,50,-1,-1,73373,189,-1
" ""MonsterName10145"""," ""邪骸士兵""",20056,50,-1,-1,73373,237,-1
" ""MonsterName10103"""," ""蛇女伊丝""",20057,50,-1,-1,110059,237,-1
" ""MonsterName10104"""," ""米洛斯""",20058,50,-1,-1,110059,237,-1
" ""MonsterName20059"""," ""黑暗心脏""",20059,1,-1,-1,30,-1,-1
" ""MonsterName20060"""," ""魔鬼大乌贼脚""",20060,50,-1,-1,85207,284,-1
" ""MonsterName20061"""," ""红蝙蝠""",20061,46,-1,-1,25110,124,-1
" ""MonsterName20062"""," ""嗜血蝙蝠""",20062,52,-1,-1,28350,131,-1
" ""MonsterName20063"""," ""黑蚁""",20063,50,-1,-1,31000,248,-1
" ""MonsterName20064"""," ""巨黑蚁""",20064,52,-1,-1,105000,262,-1
" ""MonsterName20065"""," ""红蚁""",20065,50,-1,-1,25100,124,-1
" ""MonsterName20066"""," ""转转蛋""",20066,50,-1,-1,50000,496,-1
" ""MonsterName10121"""," ""兽人战士""",20067,80,-1,-1,1325619,385,-1
" ""MonsterName10123"""," ""兽人女战士""",20068,80,-1,-1,1009996,615,-1
" ""MonsterName10126"""," ""兽人弓箭手""",20069,80,-1,-1,1009996,923,-1
" ""MonsterName10103"""," ""蛇女伊丝""",20070,50,-1,-1,171794,320,-1
No Name," ""安毕斯""",20071,50,-1,-1,206153,256,-1
" ""MonsterName10033"""," ""黑蛇""",20072,49,-1,-1,58698,222,-1
" ""MonsterName20015"""," ""浮勒盗虫""",20073,18,-1,-1,955,29,-1
" ""MonsterName10073"""," ""气泡虫""",20080,58,-1,-1,85145,185,36
" ""MonsterName10068"""," ""螃蟹""",20081,52,-1,-1,51627,216,36
" ""MonsterName10044"""," ""吸血蝙蝠""",20082,80,-1,-1,100000,-1,-1
" ""MonsterName10092"""," ""九尾狐""",20083,70,-1,-1,218876,571,-1
" ""MonsterName10038"""," ""大脚熊""",20090,70,-1,-1,7,296,-1
" ""MonsterName10039"""," ""野猪""",20091,70,-1,-1,437753,457,-1
" ""MonsterName10036"""," ""长老树精""",20092,70,-1,-1,656629,571,-1
" ""MonsterName10056"""," ""绿苍蝇""",20093,70,-1,-1,10,55,-1
" ""MonsterName10125"""," ""赤苍蝇""",20094,70,-1,-1,109438,457,-1
" ""MonsterName10027"""," ""蜂兵""",20095,70,-1,-1,72959,685,-1
" ""MonsterName10043"""," ""将军魔碑""",20096,70,-1,-1,656629,685,-1
" ""MonsterName10092"""," ""九尾狐""",20097,70,-1,-1,12,361,-1
" ""MonsterName10042"""," ""鬼火""",20098,70,-1,-1,255356,571,-1
" ""MonsterName10037"""," ""转转蛋""",20099,70,-1,-1,10,361,-1
" ""MonsterName10064"""," ""白幽灵""",20100,70,-1,-1,145918,285,-1
" ""MonsterName10133"""," ""傀儡娃娃""",20101,70,-1,-1,255356,685,-1
" ""MonsterName10098"""," ""邪骸弓箭手""",20102,70,-1,-1,364794,457,-1
" ""MonsterName10157"""," ""邪骸战士长""",20103,70,-1,-1,510712,457,-1
" ""MonsterName10090"""," ""妖道""",20104,70,-1,-1,10,332,-1
" ""MonsterName10077"""," ""人鱼士兵""",20105,70,-1,-1,12,659,-1
" ""MonsterName10075"""," ""人鱼""",20106,70,-1,-1,437753,571,-1
" ""MonsterName10091"""," ""鬼女""",20107,70,-1,-1,437753,285,-1
" ""MonsterName10150"""," ""雪熊""",20108,70,-1,-1,7,160,-1
" ""MonsterName10022"""," ""巨石怪""",20109,70,-1,-1,848695,901,-1
" ""MonsterName31013"""," ""巨石王""",20110,70,-1,-1,297000,97,-1
" ""MonsterName10041"""," ""土人""",20111,70,-1,-1,10,341,-1
" ""MonsterName10156"""," ""狂暴小土人""",20112,70,-1,-1,218876,685,-1
" ""MonsterName10041"""," ""土人""",20113,70,-1,-1,218876,685,63
" ""MonsterName10150"""," ""雪熊""",20114,70,-1,-1,20,160,-1
" ""MonsterName10056"""," ""绿苍蝇""",20115,70,-1,-1,30,55,-1
" ""MonsterName10077"""," ""人鱼士兵""",20116,70,-1,-1,5,659,-1
" ""MonsterName10038"""," ""大脚熊""",20117,70,-1,-1,20,296,-1
" ""MonsterName10037"""," ""转转蛋""",20118,70,-1,-1,30,361,-1
" ""MonsterName10092"""," ""九尾狐""",20119,70,-1,-1,326421,361,-1
" ""MonsterName20120"""," ""风""",20120,70,-1,-1,528802,157,-1
" ""MonsterName20121"""," ""林""",20121,70,-1,-1,430876,-1,-1
" ""MonsterName20122"""," ""火""",20122,70,-1,-1,652842,451,-1
" ""MonsterName20123"""," ""山""",20123,70,-1,-1,848695,225,-1
" ""MonsterName10064"""," ""白幽灵""",20124,70,-1,-1,145918,285,-1
" ""MonsterName10064"""," ""白幽灵""",20125,70,-1,-1,145918,285,-1
" ""MonsterName10043"""," ""将军魔碑""",20126,70,-1,-1,264401,341,-1
" ""MonsterName20127"""," ""将军魔碑""",20127,80,-1,-1,3000000,341,-1
" ""MonsterName20128"""," ""将军魔碑""",20128,80,-1,-1,1500000,341,-1
" ""MonsterName20129"""," ""将军魔碑""",20129,80,-1,-1,1500000,341,-1
" ""MonsterName20130"""," ""恶魔之塔""",20130,80,-1,-1,1500000,341,-1
" ""MonsterName20131"""," ""赫尔斯""",20131,80,-1,-1,1500000,341,-1
" ""MonsterName20132"""," ""马萨特""",20132,80,-1,-1,1500000,341,-1
" ""MonsterName20132"""," ""马萨特""",20133,80,-1,-1,1500000,341,-1
" ""MonsterName20134"""," ""马萨特""",20134,80,-1,-1,1500000,341,-1
" ""MonsterName10120"""," ""马萨特""",20135,80,-1,-1,1500000,341,-1
" ""MonsterName20136"""," ""傀儡娃娃""",20136,70,-1,-1,255356,685,-1
" ""MonsterName20137"""," ""小恶魔""",20137,70,-1,-1,255356,685,-1
" ""MonsterName20138"""," ""风魔巫师""",20138,70,-1,-1,255356,685,-1
" ""MonsterName20136"""," ""傀儡娃娃""",20139,70,-1,-1,255356,685,-1
" ""MonsterName20137"""," ""小恶魔""",20140,70,-1,-1,255356,685,-1
" ""MonsterName20138"""," ""风魔巫师""",20141,70,-1,-1,255356,685,-1
" ""MonsterName10022"""," ""巨石怪""",20142,80,-1,-1,10000000,193,-1
" ""MonsterName20143"""," ""赫尔斯""",20143,80,-1,-1,1500000,341,-1
" ""MonsterName20144"""," ""赫尔斯""",20144,80,-1,-1,1500000,341,-1
" ""MonsterName10088"""," ""腐尸""",20200,80,-1,-1,378748,923,-1
" ""MonsterName10102"""," ""绿腐尸""",20201,80,-1,-1,883746,769,-1
" ""MonsterName10102"""," ""绿腐尸""",20202,80,-1,-1,907719,1351,-1
" ""MonsterName10125"""," ""赤苍蝇""",20203,80,-1,-1,189374,615,-1
" ""MonsterName10084"""," ""红蝙蝠""",20204,80,-1,-1,126249,923,-1
" ""MonsterName10193"""," ""邪骸浪人""",20205,80,-1,-1,1027382,1229,-1
" ""MonsterName10102"""," ""绿腐尸""",20206,80,-1,-1,883746,769,-1
" ""MonsterName10118"""," ""马尔杜克""",20207,80,-1,-1,946871,615,-1
" ""MonsterName10135"""," ""梦魇""",20208,80,-1,-1,1514994,923,-1
" ""MonsterName10134"""," ""小恶魔""",20209,80,-1,-1,504998,615,-1
" ""MonsterName10133"""," ""傀儡娃娃""",20210,80,-1,-1,441873,923,-1
" ""MonsterName10132"""," ""南瓜先生""",20211,80,-1,-1,1027382,1229,-1
" ""MonsterName53999"""," ""木制宝箱""",20212,1,-1,-1,5,-1,77777
